Entity,Code,Year,Total alcohol consumption per capita,GDP per capita,Population (historical estimates),Continent
Afghanistan,AFG,2018,0.209999993,2033.804443,36686788,Asia
Albania,ALB,2018,7.170000076,13317.09277,2877019,North America
Algeria,DZA,2018,0.949999988,11630.67969,41927008,North America
Andorra,AND,2018,11.02000046,,75034,North America
Angola,AGO,2018,6.940000057,6933.5,31273538,Africa
Antigua and Barbuda,ATG,2018,6.380000114,21017.26367,91644,North America
Argentina,ARG,2018,9.649999619,22747.24219,44413592,South America
Armenia,ARM,2018,5.550000191,12715.10938,2836563,North America
Australia,AUS,2018,10.51000023,49029.10547,24979228,Oceania
Austria,AUT,2018,11.96000004,55258.37109,8840518,Europe
Azerbaijan,AZE,2018,4.409999847,14209.59277,10152524,Asia
Bahamas,BHS,2018,4.78000021,36539.66016,401911,Asia
Bahrain,BHR,2018,1.090000033,46389.26563,1487346,Asia
Bangladesh,BGD,2018,0.018999999,4440.855957,163683952,Asia
Barbados,BRB,2018,9.68999958,15674.9043,279702,Europe
Belarus,BLR,2018,11.44999981,18974.69922,9695573,Europe
Belgium,BEL,2018,11.07999992,51126.66797,11448598,Asia
Belize,BLZ,2018,6.21999979,7261.694336,382076,North America
Benin,BEN,2018,2.809999943,3160.780762,11940688,Asia
Bhutan,BTN,2018,0.430000007,11348.44238,762104,Europe
Bolivia,BOL,2018,4.429999828,8655.53125,11606906,South America
Bosnia and Herzegovina,BIH,2018,7.150000095,14386.7373,3400132,Asia
Botswana,BWA,2018,6.590000153,16222.40723,2451411,Africa
Brazil,BRA,2018,7.420000076,14668.25586,210166592,Europe
Brunei,BRN,2018,0.479999989,60389.18359,434283,Europe
Bulgaria,BGR,2018,12.64999962,22206.08984,7117424,Asia
Burkina Faso,BFA,2018,12.02999973,2117.813965,20392730,Asia
Burundi,BDI,2018,7.190000057,761.5241089,11493476,Asia
Cambodia,KHM,2018,6.639999866,4159.338379,16025242,Africa
Cameroon,CMR,2018,5.650000095,3711.850342,25076752,Asia
Canada,CAN,2018,8.93999958,48962.48047,37035260,North America
Cape Verde,CPV,2018,5.599999905,6864.185059,571209,Oceania
Central African Republic,CAF,2018,2.380000114,933.1099243,5094795,Africa
Chad,TCD,2018,1.370000005,1576.321167,15604213,Europe
Chile,CHL,2018,9.069999695,25028.91016,18701452,South America
China,CHN,2018,7.050000191,15133.99609,1417069440,Asia
Colombia,COL,2018,5.739999771,14314.85547,49276968,Oceania
Comoros,COM,2018,0.689999998,3073.116699,776322,Oceania
Congo,COG,2018,9.270000458,3928.427979,5441061,Africa
Costa Rica,CRI,2018,4.869999886,20672.61523,5040738,North America
Cote d'Ivoire,CIV,2018,2.710000038,5033.479004,25493990,Asia
Croatia,HRV,2018,9.229999542,28192.32813,4160488,South America
Cuba,CUB,2018,5.829999924,,11328243,Africa
Cyprus,CYP,2018,10.81000042,39977,1218834,Africa
Czechia,CZE,2018,14.44999981,39932.99219,10534598,Europe
Democratic Republic of Congo,COD,2018,2,1085.893677,87087352,Asia
Denmark,DNK,2018,10.26000023,56178.77344,5766689,Europe
Djibouti,DJI,2018,0.430000007,5214.072266,1057204,Europe
Dominica,DMA,2018,11.18000031,11527.57129,70840,Europe
Dominican Republic,DOM,2018,6.679999828,17711.79492,10765532,North America
Ecuador,ECU,2018,4.199999809,11561.74805,17015672,South America
Egypt,EGY,2018,0.360000014,11366.33594,103740768,Africa
El Salvador,SLV,2018,3.890000105,8615.689453,6276340,Europe
Equatorial Guinea,GNQ,2018,7.230000019,20386.01367,1502102,Europe
Eritrea,ERI,2018,1.440000057,,3445380,Africa
Estonia,EST,2018,9.229999542,35097.70313,1322146,Europe
Eswatini,SWZ,2018,10.03999996,8520.584961,1160430,Europe
