Entity,Code,Year,Indicator:Attribution of road traffic deaths to alcohol (%)
Albania,ALB,2017,5.2
Antigua and Barbuda,ATG,2017,0.9
Argentina,ARG,2017,17
Armenia,ARM,2017,1.9
Australia,AUS,2017,17
Austria,AUT,2017,5.1
Azerbaijan,AZE,2017,15
Belarus,BLR,2017,14.3
Bolivia,BOL,2017,6.4
Bosnia and Herzegovina,BIH,2017,20.8
Botswana,BWA,2017,3.8
Bulgaria,BGR,2017,0.9
Cambodia,KHM,2017,13
Canada,CAN,2017,29.6
Chile,CHL,2017,13
China,CHN,2017,0.4
Cook Islands,COK,2017,39
Costa Rica,CRI,2017,31.2
Croatia,HRV,2017,23.8
Cuba,CUB,2017,33.3
Cyprus,CYP,2017,17.4
Czechia,CZE,2017,9.5
Ecuador,ECU,2017,6.8
Estonia,EST,2017,10
Ethiopia,ETH,2017,4.3
Fiji,FJI,2017,5
Finland,FIN,2017,24
France,FRA,2017,29
Gambia,GMB,2017,2.1
Georgia,GEO,2017,9
Germany,DEU,2017,7
Greece,GRC,2017,25.3
Guyana,GUY,2017,17
Honduras,HND,2017,6.8
Hungary,HUN,2017,7.1
Iceland,ISL,2017,14
India,IND,2017,4.1
Iran,IRN,2017,1.7
Ireland,IRL,2017,38.5
Israel,ISR,2017,3.6
Italy,ITA,2017,22.5
Japan,JPN,2017,5.6
Kazakhstan,KAZ,2017,0.3
Latvia,LVA,2017,10.8
Lesotho,LSO,2017,60
Libya,LBY,2017,1.2
Lithuania,LTU,2017,9.6
Luxembourg,LUX,2017,14
Malaysia,MYS,2017,0.1
Mali,MLI,2017,0.4
Mauritius,MUS,2017,23.6
Mexico,MEX,2017,19.5
Micronesia (country),FSM,2017,100
Moldova,MDA,2017,9.4
Mongolia,MNG,2017,25
Morocco,MAR,2017,3.7
Myanmar,MMR,2017,21.4
Namibia,NAM,2017,3.9
Netherlands,NLD,2017,17.5
New Zealand,NZL,2017,27
Nigeria,NGA,2017,0.5
North Macedonia,MKD,2017,1.4
Norway,NOR,2017,13
Oman,OMN,2017,0.7
Papua New Guinea,PNG,2017,56
Peru,PER,2017,9.3
Poland,POL,2017,12.7
Portugal,PRT,2017,29.2
Qatar,QAT,2017,2.2
Romania,ROU,2017,5.6
Russia,RUS,2017,22.9
Serbia,SRB,2017,17
Singapore,SGP,2017,6.4
Slovakia,SVK,2017,6.1
Slovenia,SVN,2017,32
South Africa,ZAF,2017,57.5
South Korea,KOR,2017,11.2
Spain,ESP,2017,23.7
Sudan,SDN,2017,0.3
Sweden,SWE,2017,24
Switzerland,CHE,2017,13
Tajikistan,TJK,2017,4.2
Tanzania,TZA,2017,1
Thailand,THA,2017,14.1
Tonga,TON,2017,77
Tunisia,TUN,2017,1.6
Turkey,TUR,2017,3.3
Uganda,UGA,2017,0.8
Ukraine,UKR,2017,6.7
United Arab Emirates,ARE,2017,1.8
United Kingdom,GBR,2017,36
United States,USA,2017,29
Uzbekistan,UZB,2017,3.6
Vanuatu,VUT,2017,67
